"Topic 1","Topic 3","Topic 6","Topic 11","Topic 12","Topic 13","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 29","Topic 30","Topic 32","Topic 33","Topic 36","Topic 39","Topic 42","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 55","Topic 58","Topic 60","Topic 62","Topic 63","Topic 70","Topic 78","Topic 80","Topic 86","Topic 87","Topic 89","Topic 94","Topic 96","Topic 97","Topic 98","Topic 99","Topic 100"
"Salesforce - 17872.50","Generalelectric - 10065.95","Adobe - 8465.62","Alstom - 10895.61","airliquidegroup - 15449.61","Forrester - 35957.79","ArcelorMittal - 11860.87","TechnipGroup - 301902.17","Forrester - 8579.12","VolvoTrucksFR - 35069.44","Cisco - 13558.01","Rexel_Group - 12317.07","ArcelorMittal - 10162.65","Forrester - 27134.49","Forrester - 15586.97","Forrester - 16537.67","Alstom - 16877.78","PublicisGroupe - 10510.57","Oracle - 21159.47","Salesforce - 6954.17","ENGIEgroup - 9926.43","Rexel_Group - 22160.96","VolvoTrucksFR - 94687.50","Generalelectric - 14260.15","Rexel_Group - 30988.19","Intel - 23217.44","VolvoTrucksFR - 73645.83","airliquidegroup - 12095.60","Adobe - 5921.91","VMware - 5714.68","Alstom - 13279.14","Rexel_Group - 25314.61","Alstom - 20399.91","airliquidegroup - 25077.31","Forrester - 10510.08","Alstom - 24144.21","Rexel_Group - 25924.51","ENGIEgroup - 13115.26","MaerskLine - 12790.72","Rexel_Group - 12666.26","VMware - 12770.05"
"Rexel_Group - 13318.99","SolvayGroup - 8170.71","MaerskLine - 4481.47","Rexel_Group - 10064.28","Salesforce - 9276.16","PublicisGroupe - 8336.26","VMware - 10734.72","VolvoTrucksFR - 21041.67","Oracle - 7660.72","SolvayGroup - 8429.33","SolvayGroup - 7012.74","ENGIEgroup - 6626.25","Rexel_Group - 6943.02","Adobe - 15693.98","Generalelectric - 11281.50","ArcelorMittal - 14362.63","SAFRAN - 14670.94","VolvoTrucksFR - 8416.67","Adobe - 12779.64","Adobe - 6516.00","SolvayGroup - 7875.40","PublicisGroupe - 20058.47","Forrester - 17142.97","Salesforce - 14129.80","Adobe - 11418.12","VMware - 14445.76","Cisco - 21367.09","Intel - 8473.67","SolvayGroup - 5044.63","ArcelorMittal - 5620.92","Adobe - 9351.25","PublicisGroupe - 15047.25","Capgemini - 19609.35","Alstom - 21808.29","Rexel_Group - 7483.11","SAFRAN - 14811.29","Forrester - 13952.33","ArcelorMittal - 12287.20","Capgemini - 12420.96","VMware - 10386.76","Salesforce - 12198.95"
"PublicisGroupe - 12183.85","MaerskLine - 7974.49","VMware - 4463.76","Capgemini - 7506.21","Cisco - 8906.51","Salesforce - 7951.14","SolvayGroup - 10577.37","Rexel_Group - 13196.86","Salesforce - 7436.05","ArcelorMittal - 7187.11","Intel - 6757.11","SolvayGroup - 6407.86","SolvayGroup - 5863.64","Rexel_Group - 9913.55","Intel - 9450.70","SolvayGroup - 14305.48","airliquidegroup - 14331.16","Cisco - 7117.73","VMware - 12380.36","ArcelorMittal - 6242.44","airliquidegroup - 6291.95","Generalelectric - 15451.31","Oracle - 9900.94","VMware - 13100.46","airliquidegroup - 10835.93","Alstom - 14266.99","MaerskLine - 7920.46","VMware - 7061.96","PublicisGroupe - 4719.47","Adobe - 5244.84","Rexel_Group - 7214.51","Intel - 13641.84","Rexel_Group - 18979.80","Intel - 20922.05","Oracle - 5637.91","Capgemini - 14143.47","Capgemini - 8035.04","airliquidegroup - 10215.99","airliquidegroup - 12404.60","ArcelorMittal - 10209.13","Cisco - 11086.20"
"ArcelorMittal - 9746.66","Rexel_Group - 7436.90","Cisco - 4112.51","ENGIEgroup - 6922.26","MaerskLine - 8751.57","SAFRAN - 7828.99","Salesforce - 9962.11","Intel - 9110.39","Cisco - 6978.46","airliquidegroup - 7047.21","MaerskLine - 6747.46","MaerskLine - 5788.78","Generalelectric - 5676.38","Capgemini - 9546.61","Oracle - 8988.65","Alstom - 13829.33","Capgemini - 13005.95","Adobe - 6869.13","Salesforce - 11822.96","Oracle - 5442.24","ArcelorMittal - 5663.02","SolvayGroup - 9604.15","Rexel_Group - 8328.69","Capgemini - 12799.49","ArcelorMittal - 10645.54","VolvoTrucksFR - 14027.78","ArcelorMittal - 7245.36","Generalelectric - 6978.87","Cisco - 4329.47","Cisco - 4731.90","ArcelorMittal - 6732.99","Adobe - 13637.50","Salesforce - 17198.40","Cisco - 17357.38","Capgemini - 5241.98","Oracle - 14143.41","Oracle - 8005.48","Oracle - 10104.32","Rexel_Group - 11195.34","SAFRAN - 10177.59","Adobe - 9437.19"
"SolvayGroup - 8299.95","ArcelorMittal - 6915.39","ArcelorMittal - 3823.85","Oracle - 6128.89","Adobe - 8371.46","Capgemini - 7752.54","Oracle - 9947.60","Adobe - 7526.90","Capgemini - 6863.69","PublicisGroupe - 6464.39","VMware - 6468.46","airliquidegroup - 5643.48","Cisco - 5547.07","MaerskLine - 9096.10","VMware - 8560.73","Capgemini - 13756.26","SolvayGroup - 12789.10","VMware - 6863.37","ArcelorMittal - 10526.51","Capgemini - 5433.14","Generalelectric - 5518.67","ArcelorMittal - 9233.81","VMware - 8230.38","Cisco - 12731.79","Generalelectric - 10559.30","ArcelorMittal - 12950.38","VMware - 6290.76","Adobe - 6588.38","VMware - 4135.36","Salesforce - 4676.28","VMware - 6529.98","airliquidegroup - 13232.59","VMware - 16456.65","SAFRAN - 17116.60","Alstom - 5241.79","MaerskLine - 13910.13","Salesforce - 7277.87","SAFRAN - 9530.11","SAFRAN - 10771.59","airliquidegroup - 10146.48","Oracle - 8840.97"
"airliquidegroup - 8294.66","Alstom - 6759.07","airliquidegroup - 3023.60","airliquidegroup - 5507.06","ArcelorMittal - 8094.23","Adobe - 7333.51","Cisco - 9447.94","ArcelorMittal - 6872.42","VMware - 6749.07","Alstom - 6134.33","Adobe - 6240.25","Adobe - 5465.04","MaerskLine - 4911.71","Oracle - 8314.08","Capgemini - 7613.65","Rexel_Group - 12092.24","Rexel_Group - 12732.53","SolvayGroup - 6510.88","Generalelectric - 10219.62","Cisco - 5114.61","Intel - 5278.05","Intel - 7824.62","Cisco - 7502.45","Adobe - 12394.78","MaerskLine - 10196.05","Adobe - 12927.58","airliquidegroup - 5982.62","Oracle - 6449.35","Oracle - 4038.69","Intel - 4487.77","Capgemini - 6070.26","MaerskLine - 11787.45","ENGIEgroup - 16153.55","SolvayGroup - 16251.05","ArcelorMittal - 4967.57","Intel - 13474.04","Adobe - 6907.97","Capgemini - 7828.29","ArcelorMittal - 9416.64","Adobe - 9641.93","SolvayGroup - 7862.49"
"Oracle - 7653.60","PublicisGroupe - 6529.71","Intel - 2993.82","VMware - 5499.03","Rexel_Group - 7541.76","Oracle - 5659.16","airliquidegroup - 9330.51","PublicisGroupe - 6195.14","Adobe - 5861.47","Generalelectric - 5817.16","SAFRAN - 6036.55","Capgemini - 5345.06","Capgemini - 4763.31","Generalelectric - 7963.82","Cisco - 7562.99","Cisco - 11127.93","ArcelorMittal - 12325.66","Generalelectric - 6403.75","Rexel_Group - 9115.61","Forrester - 5011.21","PublicisGroupe - 5274.83","Adobe - 7480.88","PublicisGroupe - 7419.89","airliquidegroup - 12244.34","Alstom - 9592.96","airliquidegroup - 12916.87","Intel - 5660.63","SolvayGroup - 6386.61","Capgemini - 3856.39","ENGIEgroup - 4233.17","Intel - 5571.82","Generalelectric - 11707.38","SAFRAN - 15413.98","VMware - 16171.15","Salesforce - 4648.86","VMware - 12511.44","Cisco - 6436.07","Generalelectric - 7301.65","ENGIEgroup - 9112.40","PublicisGroupe - 8986.51","Generalelectric - 7827.64"
"SAFRAN - 7019.22","Oracle - 6251.09","Forrester - 2497.77","ArcelorMittal - 5470.78","Capgemini - 7501.51","Rexel_Group - 5288.74","Capgemini - 8576.38","VMware - 6179.19","SAFRAN - 5383.39","Forrester - 5773.78","Generalelectric - 5975.35","Generalelectric - 5193.56","Forrester - 4658.35","Cisco - 7824.81","Adobe - 7431.43","SAFRAN - 10525.16","MaerskLine - 12321.02","Capgemini - 6302.31","Cisco - 8919.59","VMware - 4764.59","Cisco - 5108.35","Oracle - 7431.06","Salesforce - 7312.21","SolvayGroup - 11715.75","Salesforce - 9183.00","Capgemini - 12734.75","Adobe - 5506.81","Salesforce - 6280.96","Salesforce - 3841.16","PublicisGroupe - 4101.28","SolvayGroup - 5438.76","Alstom - 10964.87","PublicisGroupe - 15262.59","PublicisGroupe - 16099.08","Generalelectric - 4293.04","ArcelorMittal - 12315.73","TechnipGroup - 6403.99","Alstom - 7262.93","SolvayGroup - 8784.64","MaerskLine - 8859.32","SAFRAN - 6827.22"
"Generalelectric - 6800.93","Adobe - 6188.27","Rexel_Group - 2466.08","Salesforce - 5321.57","Oracle - 7359.29","Cisco - 5171.63","Intel - 8250.98","airliquidegroup - 6017.20","SolvayGroup - 5308.32","Adobe - 5747.15","Alstom - 5537.43","PublicisGroupe - 5113.75","Alstom - 4654.89","Salesforce - 7804.76","SAFRAN - 7398.63","Generalelectric - 9795.33","Oracle - 10065.07","Salesforce - 6274.70","Intel - 8895.07","Intel - 3532.93","SAFRAN - 5007.56","Salesforce - 7293.31","Adobe - 7193.55","PublicisGroupe - 11326.52","SolvayGroup - 8634.88","SolvayGroup - 12610.73","Salesforce - 5021.35","SAFRAN - 5894.23","MaerskLine - 3644.86","SolvayGroup - 4046.14","Cisco - 5241.35","Forrester - 10500.91","ArcelorMittal - 14651.36","Capgemini - 14130.15","SolvayGroup - 4261.27","Salesforce - 12041.20","VMware - 6366.49","VMware - 6869.30","Alstom - 8770.63","SolvayGroup - 8850.14","Capgemini - 6504.97"
"Forrester - 6541.20","Salesforce - 6187.66","Capgemini - 2466.01","Forrester - 5245.63","PublicisGroupe - 7220.48","ArcelorMittal - 4919.46","PublicisGroupe - 8156.85","Oracle - 5785.99","Rexel_Group - 5286.08","Intel - 5547.94","PublicisGroupe - 5342.23","ArcelorMittal - 4488.59","airliquidegroup - 4324.22","ENGIEgroup - 7488.10","TechnipGroup - 6861.41","ENGIEgroup - 9073.90","VMware - 9312.45","ArcelorMittal - 6264.83","PublicisGroupe - 8650.48","Generalelectric - 3305.66","Adobe - 4965.55","ENGIEgroup - 6625.06","airliquidegroup - 6389.43","ArcelorMittal - 11256.35","Oracle - 8178.06","Salesforce - 12402.30","Oracle - 4561.72","ArcelorMittal - 5671.10","Rexel_Group - 3616.92","Rexel_Group - 4020.16","Oracle - 5199.41","VMware - 9578.92","airliquidegroup - 14205.48","Oracle - 14066.33","airliquidegroup - 3818.07","Cisco - 11198.21","PublicisGroupe - 6362.45","TechnipGroup - 6861.41","Oracle - 8691.70","Capgemini - 8728.64","Intel - 6267.71"
