"Adobe","airliquidegroup","Alstom","ArcelorMittal","Capgemini","Cisco","ENGIEgroup","Forrester","Generalelectric","Intel","MaerskLine","Oracle","PublicisGroupe","Rexel_Group","SAFRAN","Salesforce","SolvayGroup","TechnipGroup","VMware","VolvoTrucksFR"
"Topic 30 - 15693.98","Topic 87 - 25077.31","Topic 94 - 24144.21","Topic 86 - 14651.36","Topic 86 - 19609.35","Topic 60 - 21367.09","Topic 86 - 16153.55","Topic 13 - 35957.79","Topic 47 - 15451.31","Topic 58 - 23217.44","Topic 94 - 13910.13","Topic 42 - 21159.47","Topic 47 - 20058.47","Topic 55 - 30988.19","Topic 87 - 17116.60","Topic 1 - 17872.50","Topic 87 - 16251.05","Topic 22 - 301902.17","Topic 86 - 16456.65","Topic 48 - 94687.50"
"Topic 86 - 14185.94","Topic 12 - 15449.61","Topic 87 - 21808.29","Topic 33 - 14362.63","Topic 94 - 14143.47","Topic 87 - 17357.38","Topic 97 - 13115.26","Topic 30 - 27134.49","Topic 49 - 14260.15","Topic 87 - 20922.05","Topic 86 - 13587.30","Topic 94 - 14143.41","Topic 87 - 16099.08","Topic 96 - 25924.51","Topic 86 - 15413.98","Topic 86 - 17198.40","Topic 33 - 14305.48","Topic 49 - 7880.82","Topic 87 - 16171.15","Topic 60 - 73645.83"
"Topic 80 - 13637.50","Topic 36 - 14331.16","Topic 86 - 20399.91","Topic 58 - 12950.38","Topic 87 - 14130.15","Topic 25 - 13558.01","Topic 49 - 10713.38","Topic 48 - 17142.97","Topic 86 - 14186.43","Topic 80 - 13641.84","Topic 98 - 12790.72","Topic 87 - 14066.33","Topic 86 - 15262.59","Topic 80 - 25314.61","Topic 94 - 14811.29","Topic 49 - 14129.80","Topic 86 - 14126.29","Topic 97 - 6861.41","Topic 58 - 14445.76","Topic 24 - 35069.44"
"Topic 58 - 12927.58","Topic 86 - 14205.48","Topic 36 - 16877.78","Topic 36 - 12325.66","Topic 33 - 13756.26","Topic 49 - 12731.79","Topic 46 - 9926.43","Topic 33 - 16537.67","Topic 80 - 11707.38","Topic 94 - 13474.04","Topic 36 - 12321.02","Topic 86 - 11883.54","Topic 80 - 15047.25","Topic 47 - 22160.96","Topic 36 - 14670.94","Topic 58 - 12402.30","Topic 36 - 12789.10","Topic 32 - 6861.41","Topic 49 - 13100.46","Topic 22 - 21041.67"
"Topic 87 - 12874.68","Topic 80 - 13232.59","Topic 58 - 14266.99","Topic 94 - 12315.73","Topic 36 - 13005.95","Topic 86 - 12574.49","Topic 94 - 9518.22","Topic 32 - 15586.97","Topic 87 - 11439.83","Topic 86 - 11072.43","Topic 80 - 11787.45","Topic 49 - 10686.02","Topic 1 - 12183.85","Topic 86 - 18979.80","Topic 58 - 11579.25","Topic 100 - 12198.95","Topic 58 - 12610.73","Topic 96 - 6403.99","Topic 100 - 12770.05","Topic 58 - 14027.78"
"Topic 42 - 12779.64","Topic 58 - 12916.87","Topic 33 - 13829.33","Topic 97 - 12287.20","Topic 49 - 12799.49","Topic 94 - 11198.21","Topic 87 - 9145.34","Topic 96 - 13952.33","Topic 32 - 11281.50","Topic 49 - 10177.31","Topic 58 - 10286.59","Topic 97 - 10104.32","Topic 49 - 11326.52","Topic 1 - 13318.99","Topic 98 - 10771.59","Topic 94 - 12041.20","Topic 49 - 11715.75","Topic 58 - 6312.50","Topic 94 - 12511.44","Topic 39 - 8416.67"
"Topic 49 - 12394.78","Topic 98 - 12404.60","Topic 78 - 13279.14","Topic 87 - 12089.37","Topic 58 - 12734.75","Topic 33 - 11127.93","Topic 98 - 9112.40","Topic 87 - 10975.91","Topic 55 - 10559.30","Topic 32 - 9450.70","Topic 55 - 10196.05","Topic 36 - 10065.07","Topic 39 - 10510.57","Topic 22 - 13196.86","Topic 33 - 10525.16","Topic 42 - 11822.96","Topic 94 - 10904.30","Topic 42 - 6312.50","Topic 42 - 12380.36","Topic 55 - 0.00"
"Topic 55 - 11418.12","Topic 49 - 12244.34","Topic 80 - 10964.87","Topic 21 - 11860.87","Topic 98 - 12420.96","Topic 100 - 11086.20","Topic 33 - 9073.90","Topic 89 - 10510.08","Topic 94 - 10300.76","Topic 22 - 9110.39","Topic 87 - 9804.70","Topic 21 - 9947.60","Topic 99 - 8986.51","Topic 36 - 12732.53","Topic 49 - 10230.17","Topic 87 - 11321.99","Topic 21 - 10577.37","Topic 99 - 5397.64","Topic 21 - 10734.72","Topic 62 - 0.00"
"Topic 94 - 10345.25","Topic 62 - 12095.60","Topic 11 - 10895.61","Topic 49 - 11256.35","Topic 30 - 9546.61","Topic 58 - 10102.17","Topic 99 - 8688.59","Topic 80 - 10500.91","Topic 42 - 10219.62","Topic 42 - 8895.07","Topic 30 - 9096.10","Topic 48 - 9900.94","Topic 42 - 8650.48","Topic 99 - 12666.26","Topic 99 - 10177.59","Topic 21 - 9962.11","Topic 47 - 9604.15","Topic 24 - 5031.70","Topic 99 - 10386.76","Topic 63 - 0.00"
"Topic 99 - 9641.93","Topic 55 - 10835.93","Topic 55 - 9592.96","Topic 55 - 10645.54","Topic 99 - 8728.64","Topic 21 - 9447.94","Topic 80 - 8310.40","Topic 49 - 10155.20","Topic 3 - 10065.95","Topic 33 - 8728.24","Topic 99 - 8859.32","Topic 58 - 9754.52","Topic 13 - 8336.26","Topic 26 - 12317.07","Topic 97 - 9530.11","Topic 12 - 9276.16","Topic 80 - 9128.25","Topic 25 - 4508.93","Topic 80 - 9578.92","Topic 70 - 0.00"
